gene_symb,,,,gene Symbol,Gene ID
Abhd4,,,,Abhd4,364380
Adamts9,,,,,116913526
Ankhd1,,,,Adamts9,312566
Atxn7l2,,,,,116903485
Bclaf1,,,,Ankhd1,100529260
Becn1,,,,Atxn7l2,310781
Camk2d,,,,,116896368
Cd300a,,,,Bclaf1,293017
Csad,,,,,116892974
Dhdds,,,,Becn1,116910572
Eif4e,,,,,114558
Ewsr1,,,,Camk2d,116896279
Gps2,,,,,24246
Hdac3,,,,Cd300a,501736
Ifrd2,,,,,116909027
Lratd1,,,,Csad,60356
Max,,,,,116883593
Naa60,,,,Dhdds,298541
Ndufv3,,,,,116894920
Nup88,,,,Eif4e,117045
Pld2,,,,,116896206
Plekho1,,,,Ewsr1,289752
Rabl2,,,,,116912837
Sirt3,,,,Gps2,497941
Slc38a10,,,,,116908504
Smurf1,,,,Hdac3,116884520
Spsb3,,,,,84578
Tarbp2,,,,Ifrd2,300994
Tbc1d17,,,,,116907536
Tspan17,,,,Lratd1,313969
Usp33,,,,,116904888
Usp34,,,,Max,116905191
Wdr25,,,,,60661
Zdhhc3,,,,Naa60,363545
,,,,,116910066
,,,,Ndufv3,116887173
,,,,,64539
,,,,Nup88,113929
,,,,,116909025
,,,,Pld2,116909527
,,,,,25097
,,,,Plekho1,310674
,,,,,116896527
,,,,Rabl2,362987
,,,,Sirt3,293615
,,,,,116890895
,,,,Slc38a10,116910213
,,,,,303740
,,,,Smurf1,690516
,,,,,116885183
,,,,Spsb3,302981
,,,,,116909340
,,,,Tarbp2,363006
,,,,Tbc1d17,292886
,,,,,116892190
,,,,Tspan17,116883712
,,,,,306771
,,,,Usp33,116896153
,,,,,310960
,,,,Usp34,116911952
,,,,,360990
,,,,Wdr25,314443
,,,,,116905459
,,,,Zdhhc3,301081
,,,,,116908016
